Site name,Bryce abbrev,our abbrev,# samples for seq,Ploidy,subspecies,Latitude,Longitude,Notes
Benton B,CAT-2,BB,17,2,tridentata,37.7973,-118.5704,
Old Oregon Trail Rd,IDT-1,OT,9,2,tridentata,43.0962,-115.6569,
Orchard,IDT-2,OC,10,2,tridentata,43.3371,-116.0081,
Bridger Crk,MTT-1,BC,7,2,tridentata,45.2056,-108.8256,
Cripple Crk,NVT-1,RK,7,2,tridentata,39.2922,-117.8517,
Currant B,NVT-2,CB,9,2,tridentata,38.7971,-115.3921,
Horse Canyon,NVW-1,HC,8,2,tridentata,41.5147,-117.7751,
Jordan Valley,ORT-1,JV,15,2,tridentata,42.9745,-117.1854,
Echo,ORT-2,EC,9,2,tridentata,45.7589,-119.2076,
Beatty Butte T,ORT-3,BT,15,2,tridentata,42.3263,-119.3665,
Beatty Butte W,ORW-2,BW,9,2,tridentata,42.3166,-119.3928,
Canyon B,UTT-1,YB,9,2,tridentata,37.9933,-112.5087,
La Sal B,UTT-2,LB,9,2,tridentata,38.306,-109.3876,
Kanab,UTT-3,KN,15,2,tridentata,37.0402,-112.2642,
Lind,WAT-1,LN,10,2,tridentata,46.7419,-118.2278,
Rifle B,COT-1,RB,17,2,tridentata,39.6127,-107.81,
Benton V,CAV-2,NV,9,2,vaseyana,37.7234,-118.5926,
Jucamba,CAV-3,JU,7,4,vaseyana,32.6458,-116.1864,
Fredonyer Peak,CAW-3,FP,7,2,vaseyana,40.6328,-120.6064,
Dunnigan Cr,IDV-2,GC,9,2,vaseyana,43.6776,-115.9738,
Stanley,IDV-3,SN,16,2,vaseyana,44.259,-114.6402,
Cascade,IDV-4,CC,15,2,vaseyana,44.5083,-116.0237,
Pearl Rd,IDV-5,PR,9,2,vaseyana,43.8385,-116.2559,
Tie Flat Rd,MTV-1,TF,8,2,vaseyana,45.1724,-108.455,
Austin,NVV-1,AN,8,2,vaseyana,39.4728,-117.0497,
Currant V,NVV-2,CV,17,2,vaseyana,38.8183,-115.2835,
Robber's Roost,NVV-3,RR,10,4,vaseyana,36.3046,-115.6168,
